season,date,time,ID,home,home_sets,home_points,away,away_sets,away_points,division,category,venue,r1,r2
2006-2007,2007-02-25,00:00,,Dartford Crossers,1,20 19 26 18 0,Essex Estonians,3,25 25 24 25 0,division_3,men,Acacia Hall,110308,110308
2006-2007,2007-02-25,00:00,,Cambridge ARU,3,25 25 25 - -,Stowmarket,0,17 11 21 - -,division_3,men,Chesterton Sports Centre,110308,110308
2006-2007,2007-02-11,00:00,,Stowmarket,0,22 14 24 - -,Dartford Crossers,3,25 25 26 - -,division_3,men,Peckham Academy,110308,110308
2006-2007,2007-01-14,00:00,,Dartford Crossers,0,12 21 14 - -,Cambridge ARU,3,25 25 25 - -,division_3,men,Acacia Hall,110308,110308
2006-2007,2006-12-10,00:00,,Cambridge ARU,3,21 22 25 25 15,Essex Estonians,2,25 25 9 13 10,division_3,men,Chesterton Sports Centre,110308,110308
2006-2007,2006-11-26,00:00,,Cambridge ARU,3,25 25 25 - -,Stowmarket,0,12 20 14 - -,division_3,men,Newmarket Leisure Centre,110308,110308
2006-2007,2006-11-19,00:00,,Essex Estonians,0,15 9 23 - -,Cambridge ARU,3,25 25 25 - -,division_3,men,Boswells School,110308,110308
2006-2007,2006-10-29,00:00,,Stowmarket,1,25 11 16 20 0,Dartford Crossers,3,16 25 25 25 0,division_3,men,Boswells School,110308,110308
2006-2007,2006-10-29,00:00,,Essex Estonians,3,25 25 25 - -,Dartford Crossers,0,23 20 17 - -,division_3,men,Boswells School,110308,110308
2006-2007,2006-10-29,00:00,,Essex Estonians,3,25 25 25 - -,Stowmarket,0,17 16 16 - -,division_3,men,Boswells School,110308,110308
2006-2007,2006-10-22,00:00,,Cambridge ARU,3,25 25 25 - -,Dartford Crossers,0,11 14 21 - -,division_3,men,Perse School,110308,110308
2006-2007,2007-03-25,00:00,,Nottingham Rockets,0,19 13 16 - -,Coventry & Warwick Riga 2,3,25 25 25 - -,division_3,men,Southglade Leisure Centre,110308,110308
2006-2007,2007-03-25,00:00,,Black Country,3,25 25 25 - -,Newcastle Staffs 2,0,12 19 16 - -,division_3,men,Newburn Activity Centre,110308,110308
2006-2007,2007-02-25,00:00,,Black Country,3,25 25 25 - -,Newcastle Staffs 2,0,13 14 11 - -,division_3,men,Birkdale High School,110308,110308
2006-2007,2007-01-21,00:00,,Black Country,0,18 27 24 - -,Coventry & Warwick Riga 2,3,25 29 26 - -,division_3,men,Munrow Sports Centre,110308,110308
2006-2007,2007-01-14,00:00,,Coventry & Warwick Riga 2,3,25 25 25 - -,Newcastle Staffs 2,0,7 17 12 - -,division_3,men,St. Nicholas Park L.C.,110308,110308
2006-2007,2007-01-14,00:00,,Nottingham Rockets,1,22 25 18 21 0,Black Country,3,25 23 25 25 0,division_3,men,Southglade Leisure Centre,110308,110308
2006-2007,2006-12-10,00:00,,Nottingham Rockets,0,15 23 22 - -,Black Country,3,25 25 25 - -,division_3,men,Alan Higgs Centre,110308,110308
2006-2007,2006-12-10,00:00,,Coventry & Warwick Riga 2,3,23 25 25 25 0,Black Country,1,25 22 17 21 0,division_3,men,Alan Higgs Centre,110308,110308
2006-2007,2006-12-10,00:00,,Coventry & Warwick Riga 2,3,25 25 23 21 15,Nottingham Rockets,2,20 19 25 25 9,division_3,men,Alan Higgs Centre,110308,110308
2006-2007,2006-10-15,00:00,,Nottingham Rockets,2,23 23 25 25 8,Newcastle Staffs 2,3,25 25 20 22 15,division_3,men,Harvey Hadden Sports Complex,110308,110308
2006-2007,2006-09-16,00:00,,Newcastle Staffs 2,3,25 25 21 25 0,Nottingham Rockets,1,17 19 25 19 0,division_3,men,Madeley High School,110308,110308
2006-2007,2007-02-25,00:00,,Southampton,2,26 29 21 25 10,City of Bristol,3,24 31 25 23 15,division_3,men,Coombe Dean School,110308,110308
2006-2007,2007-01-14,00:00,,Southampton,3,25 25 25 - -,City of Bristol,0,20 18 20 - -,division_3,men,Woodlands Community School,110308,110308
2006-2007,2007-02-10,00:00,,Newcastle Staffs,3,25 25 25 23 16,Leeds Gorse,2,15 27 15 25 14,shield,men,,110308,110308
2006-2007,2006-12-03,00:00,,Stowmarket,1,14 25 16 19 0,Southampton,3,25 14 25 25 0,shield,men,,110308,110308
2006-2007,2007-04-21,00:00,,Loughborough Students,3,25 19 25 21 15,Malory Eagles UEL,2,21 25 23 25 11,cup,women,,110308,110308
2006-2007,2007-03-17,00:00,,Team SideOut Polonia (London),0,17 18 11 - -,Malory Eagles UEL,3,25 25 25 - -,cup,women,,110308,110308
2006-2007,2007-01-14,00:00,,Plymouth,0,13 11 16 - -,Malory Eagles UEL,3,25 25 25 - -,cup,women,,110308,110308
2006-2007,2006-11-12,00:00,,Dartford Chargers,0,21 19 11 - -,Plymouth,3,25 25 25 - -,cup,women,,110308,110308
2006-2007,2006-11-12,00:00,,Loughborough Students,3,21 26 25 25 0,Ashcombe Dorking,1,25 24 20 23 0,cup,women,,110308,110308
2006-2007,2006-11-12,00:00,,Northumbria University,3,25 25 12 30 0,Reading Aces,1,10 23 25 28 0,cup,women,,110308,110308
2006-2007,2006-11-11,00:00,,Team SideOut Polonia (London),3,25 25 25 - -,Portsmouth,0,19 19 13 - -,cup,women,,110308,110308
2006-2007,2006-10-15,00:00,,Dartford Chargers,3,14 25 25 17 15,Coventry & Warwick Riga,2,25 11 19 25 11,cup,women,,110308,110308
2006-2007,2006-10-15,00:00,,Plymouth,3,25 14 19 25 15,Cambridge ARU,2,17 25 25 19 13,cup,women,,110308,110308
2006-2007,2007-04-15,00:00,,Portsmouth,3,26 18 25 25 0,Loughborough Students,1,24 25 18 20 0,division_1,women,Milton Cross School,110308,110308
2006-2007,2007-04-14,00:00,,Team SideOut Polonia (London),1,23 22 25 23 0,Portsmouth,3,25 25 12 25 0,division_1,women,St Benedicts School,110308,110308
2006-2007,2007-03-31,00:00,,Malory Eagles UEL,3,25 25 25 - -,Ashcombe Dorking,0,12 13 17 - -,division_1,women,Raynes Park High School Sports Centre,110308,110308
2006-2007,2007-02-24,00:00,,Team SideOut Polonia (London),3,25 22 16 25 17,Malory Eagles UEL,2,22 25 25 21 15,division_1,women,St Benedicts School,110308,110308
2006-2007,2007-02-04,00:00,,Ashcombe Dorking,0,13 20 25 - -,Team SideOut Polonia (London),3,25 25 27 - -,division_1,women,TBC,110308,110308
2006-2007,2007-02-03,00:00,,Malory Eagles UEL,3,25 25 25 - -,Portsmouth,0,14 15 20 - -,division_1,women,Raynes Park High School Sports Centre,110308,110308
2006-2007,2007-01-28,00:00,,Portsmouth,3,25 25 25 - -,Ashcombe Dorking,0,21 19 17 - -,division_1,women,Milton Cross School,110308,110308
2006-2007,2007-01-27,00:00,,Loughborough Students,1,22 27 21 24 0,Malory Eagles UEL,3,25 25 25 26 0,division_1,women,TBC,110308,110308
2006-2007,2007-01-21,00:00,,Ashcombe Dorking,1,25 21 17 23 0,Loughborough Students,3,23 25 25 25 0,division_1,women,TBC,110308,110308
2006-2007,2006-12-03,00:00,,Portsmouth,0,11 8 8 - -,Team SideOut Polonia (London),3,25 25 25 - -,division_1,women,Milton Cross School,110308,110308
2006-2007,2006-11-26,00:00,,Ashcombe Dorking,1,15 26 23 19 0,Malory Eagles UEL,3,25 24 25 25 0,division_1,women,TBC,110308,110308
2006-2007,2006-11-25,00:00,,Team SideOut Polonia (London),3,25 25 25 - -,Loughborough Students,0,12 21 21 - -,division_1,women,St Benedicts School,110308,110308
2006-2007,2006-11-18,00:00,,Loughborough Students,2,23 25 23 27 14,Portsmouth,3,25 23 25 25 16,division_1,women,TBC,110308,110308
2006-2007,2006-10-21,00:00,,Malory Eagles UEL,3,22 25 25 18 15,Team SideOut Polonia (London),2,25 21 22 25 12,division_1,women,Raynes Park High School Sports Centre,110308,110308
2006-2007,2006-10-15,00:00,,Portsmouth,0,21 19 14 - -,Malory Eagles UEL,3,25 25 25 - -,division_1,women,Highbury College,110308,110308
2006-2007,2006-10-14,00:00,,Team SideOut Polonia (London),3,25 25 25 - -,Ashcombe Dorking,0,23 14 23 - -,division_1,women,St Benedicts School,110308,110308
2006-2007,2006-10-08,00:00,,Ashcombe Dorking,3,25 25 25 - -,Portsmouth,0,12 9 23 - -,division_1,women,TBC,110308,110308
2006-2007,2006-10-07,00:00,,Malory Eagles UEL,3,31 20 20 25 15,Loughborough Students,2,29 25 25 22 8,division_1,women,Raynes Park High School Sports Centre,110308,110308
2006-2007,2006-09-23,00:00,,Loughborough Students,3,25 25 25 - -,Ashcombe Dorking,0,14 21 15 - -,division_1,women,TBC,110308,110308
2006-2007,2007-04-01,00:00,,Reading Aces,1,25 12 17 14 0,Guildford International,3,23 25 25 25 0,division_2,women,Kendrick School,110308,110308
2006-2007,2007-03-04,00:00,,Guildford International,3,25 19 29 20 15,Leeds Gorse,2,12 25 27 25 1,division_2,women,TBC,110308,110308
2006-2007,2006-12-03,00:00,,Leeds Gorse,1,23 16 25 9 0,Reading Aces,3,25 25 13 25 0,division_2,women,TBC,110308,110308
2006-2007,2006-11-19,00:00,,Guildford International,3,23 23 25 25 15,Reading Aces,2,25 25 18 13 10,division_2,women,TBC,110308,110308
2006-2007,2007-04-01,00:00,,Northampton,2,15 25 10 25 5,City of Bristol,3,25 17 25 14 15,division_3,women,Llanishen L.C,110308,110308
2006-2007,2007-03-04,00:00,,City of Bristol,3,26 18 24 25 15,Northampton,2,24 25 26 13 11,division_3,women,Chesterton Sports Centre,110308,110308
2006-2007,2007-03-04,00:00,,Cambridge ARU,3,25 25 25 - -,Northampton,0,19 22 18 - -,division_3,women,Chesterton Sports Centre,110308,110308
2006-2007,2007-03-04,00:00,,Cambridge ARU,3,25 25 25 - -,City of Bristol,0,7 17 21 - -,division_3,women,Chesterton Sports Centre,110308,110308
2006-2007,2007-01-28,00:00,,City of Bristol,3,18 21 25 25 15,Coventry & Warwick Riga,2,25 25 19 14 7,division_3,women,TBC,110308,110308
2006-2007,2006-12-03,00:00,,Cambridge ARU,3,25 18 25 25 0,Coventry & Warwick Riga,1,17 25 23 16 0,division_3,women,Chesterton Sports Centre,110308,110308
2006-2007,2006-11-19,00:00,,Coventry & Warwick Riga,3,25 15 13 25 15,Northampton,2,19 25 25 16 9,division_3,women,St. Nicholas Park L.C.,110308,110308
2006-2007,2006-10-22,00:00,,Northampton,1,17 22 25 23 0,Cambridge ARU,3,25 25 20 25 0,division_3,women,Moulton Leisure Centre,110308,110308
2006-2007,2006-10-01,00:00,,City of Bristol,1,17 25 15 15 0,Cambridge ARU,3,25 12 25 25 0,division_3,women,St. Nicholas Park L.C.,110308,110308
2006-2007,2006-10-01,00:00,,Coventry & Warwick Riga,1,25 16 12 22 0,Cambridge ARU,3,17 25 25 25 0,division_3,women,St. Nicholas Park L.C.,110308,110308
2006-2007,2006-10-01,00:00,,Coventry & Warwick Riga,3,25 24 25 25 0,City of Bristol,1,22 26 15 19 0,division_3,women,St. Nicholas Park L.C.,110308,110308
2006-2007,2006-09-24,00:00,,Northampton,1,25 16 16 24 0,Coventry & Warwick Riga,3,19 25 25 26 0,division_3,women,Moulton Leisure Centre,110308,110308
2006-2007,2007-04-01,00:00,,Newcastle Staffs,0,24 9 20 - -,Northumbria University,3,26 25 25 - -,division_3,women,Keele University Sports Centre,110308,110308
2006-2007,2006-11-19,00:00,,Northumbria University,2,16 25 25 25 14,Newcastle Staffs,3,25 23 27 20 16,division_3,women,TBC,110308,110308
2006-2007,2007-04-15,00:00,,Southampton 2,3,25 25 25 - -,Southampton,0,10 13 23 - -,division_3,women,Woodlands Community School,110308,110308
2006-2007,2007-04-01,00:00,,Plymouth,3,25 25 25 - -,Dartford Chargers,0,23 8 20 - -,division_3,women,Angel Centre,110308,110308
2006-2007,2007-03-18,00:00,,Plymouth,3,25 25 25 - -,Southampton,0,16 11 11 - -,division_3,women,Boswells School,110308,110308
2006-2007,2007-03-18,00:00,,Southampton 2,1,25 22 23 27 0,Dartford Chargers,3,21 25 25 29 0,division_3,women,Woodlands Community School,110308,110308
2006-2007,2007-03-04,00:00,,Plymouth,3,17 27 25 16 15,Herts,2,25 25 14 25 12,division_3,women,Woodlands Community School,110308,110308
2006-2007,2007-03-04,00:00,,Southampton 2,0,15 21 22 - -,Herts,3,25 25 25 - -,division_3,women,Woodlands Community School,110308,110308
2006-2007,2007-03-04,00:00,,Dartford Chargers,1,22 17 25 23 0,Southampton,3,25 25 21 25 0,division_3,women,Acacia Hall,110308,110308
2006-2007,2007-03-04,00:00,,Southampton 2,1,23 25 23 15 0,Plymouth,3,25 19 25 25 0,division_3,women,Woodlands Community School,110308,110308
2006-2007,2007-02-04,00:00,,Dartford Chargers,1,25 5 10 11 0,Herts,3,21 25 25 25 0,division_3,women,Boswells School,110308,110308
2006-2007,2007-01-28,00:00,,Plymouth,3,25 25 25 - -,Dartford Chargers,0,15 15 18 - -,division_3,women,Kendrick School,110308,110308
2006-2007,2007-01-28,00:00,,Herts,3,25 25 25 - -,Southampton,0,14 13 10 - -,division_3,women,Francis Bacon Sports Centre,110308,110308
2006-2007,2006-11-19,00:00,,Herts,3,19 25 25 25 0,Southampton 2,1,25 22 20 23 0,division_3,women,Coombe Dean School,110308,110308
2006-2007,2006-11-19,00:00,,Plymouth,3,26 25 25 - -,Southampton 2,0,24 23 12 - -,division_3,women,Coombe Dean School,110308,110308
2006-2007,2006-11-19,00:00,,Plymouth,1,19 25 24 20 0,Herts,3,25 18 26 25 0,division_3,women,Coombe Dean School,110308,110308
2006-2007,2006-11-19,00:00,,Southampton,0,20 15 19 - -,Dartford Chargers,3,25 25 25 - -,division_3,women,TBC,110308,110308
2006-2007,2006-11-05,00:00,,Southampton,0,14 15 12 - -,Plymouth,3,25 25 25 - -,division_3,women,Cantell School,110308,110308
2006-2007,2006-10-22,00:00,,Dartford Chargers,2,25 25 12 10 10,Southampton 2,3,19 22 25 25 15,division_3,women,TBC,110308,110308
2006-2007,2006-10-14,00:00,,Herts,3,25 25 25 - -,Southampton,0,13 10 16 - -,division_3,women,Francis Bacon Sports Centre,110308,110308
2006-2007,2006-09-24,00:00,,Southampton 2,3,25 25 25 - -,Southampton,0,18 14 11 - -,division_3,women,Angel Centre,110308,110308
2006-2007,2006-09-24,00:00,,Herts,3,18 25 25 25 0,Dartford Chargers,1,25 16 17 8 0,division_3,women,Parmiters School,110308,110308
2006-2007,2007-02-11,00:00,,Cambridge ARU,2,28 7 23 25 16,Ashcombe Dorking,3,26 25 25 20 18,shield,women,,110308,110308
2006-2007,2007-01-14,00:00,,Ashcombe Dorking,3,25 25 25 - -,Dartford Chargers,0,14 23 11 - -,shield,women,,110308,110308
2006-2007,2006-12-10,00:00,,City of Bristol,3,27 23 25 25 0,Newcastle Staffs,1,25 25 16 19 0,shield,women,,110308,110308
